nome,cpf,idade,data,endereco,bairro,estado
Helena Aragão,791.***.***-23,84,85.0,morro lavínia almeida,esperança,Desconhecido
João Gabriel Oliveira,496.***.***-09,96,97.0,"travessa oliveira, 28",minas brasil,Desconhecido
Maria Cecília Vieira,491.***.***-64,87,89.0,"conjunto de souza, 842",petropolis,Desconhecido
Lorena Rodrigues,461.***.***-90,45,46.0,"quadra de fogaça, 57",vila nova gameleira 3ª seção,Desconhecido
Nicolas Cunha,873.***.***-53,69,71.0,"estrada de carvalho, 52",conjunto jardim filadélfia,Desconhecido
Vitor Hugo Ramos,485.***.***-06,29,31.0,"travessa melo, 5",biquinhas,Desconhecido
Luigi Aragão,704.***.***-74,40,40.0,"largo de rodrigues, 19",campo alegre,Desconhecido
Maria Julia Barros,123.***.***-77,49,51.0,área nogueira,solimoes,Desconhecido
Luiz Gustavo Silveira,178.***.***-03,93,94.0,estação mendes,colégio batista,Desconhecido
Ana Júlia Fernandes,795.***.***-76,96,98.0,"passarela de carvalho, 69",coração de jesus,Desconhecido
Luiz Miguel Novaes,754.***.***-28,26,26.0,"morro de nascimento, 17",coqueiros,Desconhecido
Gabriel Santos,142.***.***-30,21,21.0,"largo viana, 3",vila fumec,Desconhecido
Srta. Sophie Vieira,624.***.***-17,71,73.0,"loteamento de viana, 65",conjunto novo dom bosco,Desconhecido
Júlia Cardoso,482.***.***-02,88,89.0,"feira gustavo nascimento, 911",vila calafate,Desconhecido
Dra. Gabriela Jesus,846.***.***-40,49,50.0,vereda cunha,jardim do vale,Desconhecido
Dr. João Gabriel Correia,038.***.***-08,48,49.0,"aeroporto augusto das neves, 847",maria helena,Desconhecido
Luiz Gustavo Jesus,625.***.***-02,98,100.0,"feira fogaça, 914",vila dos anjos,Desconhecido
Rodrigo Ferreira,527.***.***-49,55,55.0,"estação moraes, 13",carmo,Desconhecido
Alícia Ribeiro,514.***.***-94,91,92.0,"feira maria julia costela, 21",mariano de abreu,Desconhecido
Sr. André Da Mata,169.***.***-15,66,68.0,"loteamento de lima, 16",conjunto providencia,Desconhecido
Srta. Maria Julia Campos,245.***.***-55,64,65.0,"rodovia pires, 57",vila de sá,Desconhecido
João Gabriel Ferreira,018.***.***-03,94,96.0,pátio carvalho,vila primeiro de maio,Desconhecido
Thomas Moraes,291.***.***-05,60,61.0,"parque melo, 462",vila cloris,Desconhecido
Clara Melo,860.***.***-57,62,63.0,"alameda vitor gabriel lopes, 52",pedreira padro lopes,Desconhecido
Luigi Cavalcanti,078.***.***-50,33,35.0,"campo de campos, 83",vila tirol,Desconhecido
Dra. Stella Da Costa,340.***.***-51,53,54.0,"passarela oliveira, 48",santa monica,Desconhecido
Isabella Da Paz,289.***.***-65,80,81.0,"via letícia nunes, 280",monsenhor messias,Desconhecido
Enzo Da Rocha,874.***.***-13,43,44.0,"travessa ribeiro, 92",pindorama,Desconhecido
Olivia Fernandes,016.***.***-48,50,52.0,"conjunto eduardo da paz, 2",dom joaquim,Desconhecido
André Da Mata,648.***.***-08,37,39.0,"feira clara lima, 5",vila independencia 3ª seção,Desconhecido
Pedro Henrique Cavalcanti,938.***.***-86,78,79.0,"núcleo de rocha, 9",sport club,Desconhecido
Joaquim Silveira,671.***.***-12,20,22.0,"vila de freitas, 80",santo antônio,Desconhecido
Mirella Rodrigues,216.***.***-94,46,48.0,"fazenda de lima, 95",vila das oliveiras,Desconhecido
Sra. Isabelly Azevedo,087.***.***-76,74,75.0,"ladeira caldeira, 5",vila paris,Desconhecido
Dr. Samuel Ferreira,720.***.***-87,35,36.0,"travessa ana lívia da mata, 63",madri,Desconhecido
Otávio Carvalho,643.***.***-90,87,89.0,"residencial costa, 9",cidade jardim taquaril,Desconhecido
Dra. Stephany Da Mota,154.***.***-51,25,26.0,"colônia monteiro, 49",europa,Desconhecido
Cauê Mendes,152.***.***-44,30,32.0,"lagoa das neves, 36",marçola,Desconhecido
Alexandre Nunes,496.***.***-33,51,53.0,"esplanada souza, 437",álvaro camargos,Desconhecido
Maria Fernanda Aragão,372.***.***-53,67,68.0,"favela de carvalho, 28",confisco,Desconhecido
João Guilherme Silva,820.***.***-30,73,74.0,"praça caroline almeida, 19",conjunto bonsucesso,Desconhecido
Lorena Rezende,753.***.***-95,73,73.0,"lagoa de fogaça, 92",pantanal,Desconhecido
Maria Sophia Da Cruz,690.***.***-34,68,69.0,"vale ana julia porto, 19",alto barroca,Desconhecido
Milena Das Neves,685.***.***-89,93,95.0,"residencial de cunha, 20",santana do cafezal,Desconhecido
Kamilly Da Cunha,520.***.***-80,66,67.0,"travessa lucca carvalho, 38",aeroporto,Desconhecido
Luiz Miguel Aragão,937.***.***-12,54,55.0,aeroporto ana clara oliveira,indaiá,Desconhecido
Ana Laura Ribeiro,754.***.***-47,37,39.0,"praia de da mata, 18",são jorge 3ª seção,Desconhecido
Lorena Da Mota,162.***.***-90,56,57.0,"favela de azevedo, 62",lindéia,Desconhecido
Emanuella Souza,617.***.***-07,78,80.0,"loteamento ferreira, 493",lagoa,Desconhecido
Cecília Pinto,498.***.***-30,24,26.0,"campo vinicius campos, 2",conjunto são francisco de assis,Desconhecido
Pedro Henrique Cunha,584.***.***-00,45,46.0,"condomínio bruna mendes, 55",pongelupe,Desconhecido
Sra. Eloah Da Mota,901.***.***-03,32,33.0,"loteamento freitas, 30",primeiro de maio,Desconhecido
Samuel Da Rocha,159.***.***-97,21,23.0,"trecho de freitas, 8",vila piratininga venda nova,Desconhecido
Melissa Almeida,705.***.***-92,64,66.0,"alameda de da rosa, 2",são salvador,Desconhecido
Carlos Eduardo Da Mota,894.***.***-20,98,100.0,"largo juliana barbosa, 182",concórdia,Desconhecido
Dr. Vitor Da Mota,789.***.***-28,48,50.0,viela de da paz,minaslandia,Desconhecido
Dr. Diogo Costela,962.***.***-73,36,37.0,"passarela joão lucas nogueira, 753",são pedro,Desconhecido
Rafaela Rodrigues,578.***.***-60,80,82.0,"campo vinicius silva, 27",lagoinha,Desconhecido
Vitor Hugo Da Conceição,716.***.***-55,25,26.0,"viaduto de castro, 65",jardim vitoria,Desconhecido
Ana Laura Caldeira,518.***.***-73,51,52.0,"estrada de rocha, 305",lourdes,Desconhecido
Dra. Laura Silveira,472.***.***-49,95,96.0,"pátio lopes, 1",varzea da palma,Desconhecido
Sr. Rafael Pereira,492.***.***-79,86,87.0,"recanto gustavo pereira, 77",santo antônio,Desconhecido
Manuela Mendes,518.***.***-60,32,32.0,"largo kevin barbosa, 2",vila da ária,Desconhecido
Igor Lopes,073.***.***-22,29,31.0,recanto azevedo,vila cloris,Desconhecido
Marcelo Moreira,346.***.***-87,49,51.0,"trecho igor barros, 77",mariano de abreu,Desconhecido
Thomas Costela,428.***.***-22,94,95.0,alameda de pinto,pousada santo antonio,Desconhecido
Luiz Otávio Gonçalves,637.***.***-90,63,65.0,"trevo rezende, 51",bela vitoria,Desconhecido
Stella Da Costa,063.***.***-07,54,55.0,"estação de freitas, 32",corumbiara,Desconhecido
Luana Da Cruz,083.***.***-86,29,31.0,distrito rocha,luxemburgo,Desconhecido
Maria Cecília Lima,132.***.***-89,27,29.0,"recanto silveira, 47",olhos d'água,Desconhecido
Melissa Teixeira,642.***.***-78,70,72.0,"residencial de pires, 28",laranjeiras,Desconhecido
Dr. Vinicius Pires,163.***.***-10,38,39.0,"distrito de lopes, 397",alto dos pinheiros,Desconhecido
Luiz Miguel Farias,962.***.***-00,87,89.0,"feira cardoso, 21",conjunto minas caixa,Desconhecido
Breno Correia,148.***.***-67,40,42.0,"conjunto daniel fernandes, 403",garças,Desconhecido
Laís Costela,306.***.***-53,58,59.0,"parque maitê santos, 42",boa viagem,Desconhecido
Dr. Diego Da Mata,293.***.***-41,20,21.0,"quadra de da mota, 62",alto caiçaras,Desconhecido
Letícia Da Mota,852.***.***-02,30,31.0,"viaduto jesus, 11",conjunto jatoba,Desconhecido
Luna Ferreira,843.***.***-14,54,54.0,"alameda anthony fogaça, 11",mantiqueira,Desconhecido
Dr. Emanuel Silveira,430.***.***-80,29,30.0,"quadra de fogaça, 28",pantanal,Desconhecido
Lorena Sales,263.***.***-15,44,45.0,fazenda caldeira,satelite,Desconhecido
Davi Da Mata,846.***.***-39,55,56.0,vila alves,jardim atlântico,Desconhecido
Isabel Melo,748.***.***-09,75,76.0,"feira enrico nogueira, 1",itaipu,Desconhecido
Raul Oliveira,298.***.***-64,93,94.0,"rua pedro miguel da luz, 95",nossa senhora do rosário,Desconhecido
Levi Da Mata,192.***.***-32,61,62.0,vila de da mata,cônego pinheiro 2ª seção,Desconhecido
Heloísa Castro,587.***.***-44,62,64.0,"sítio de cardoso, 88",acaiaca,Desconhecido
Sra. Júlia Da Paz,046.***.***-74,37,39.0,"jardim maria sophia ferreira, 95",vila nova paraíso,Desconhecido
Luana Viana,213.***.***-21,26,27.0,"praça de castro, 980",ernesto nascimento,Desconhecido
Sr. Renan Sales,364.***.***-83,22,24.0,"praça olivia silveira, 49",novo das industrias,Desconhecido
Caio Aragão,714.***.***-62,22,24.0,"área de barros, 86",boa esperança,Desconhecido
Srta. Lavínia Ribeiro,263.***.***-51,75,77.0,"alameda gustavo henrique gonçalves, 50",beija flor,Desconhecido
Sofia Da Mata,806.***.***-84,21,23.0,"jardim de lopes, 7",planalto,Desconhecido
André Araújo,819.***.***-13,43,44.0,"alameda de da mota, 94",vila paquetá,Desconhecido
Nathan Azevedo,285.***.***-82,85,86.0,"lagoa milena ramos, 4",caiçara - adelaide,Desconhecido
Camila Teixeira,982.***.***-40,46,48.0,"setor da cunha, 39",jardim montanhês,Desconhecido
Srta. Clara Souza,510.***.***-71,25,27.0,"área peixoto, 32",flavio de oliveira,Desconhecido
Yuri Nascimento,129.***.***-73,57,58.0,"vereda matheus azevedo, 2",serrano,Desconhecido
Srta. Marcela Gonçalves,148.***.***-87,83,85.0,"praia raul campos, 12",conjunto providencia,Desconhecido
João Ramos,936.***.***-87,50,51.0,"jardim enzo da paz, 47",vila ouro minas,Desconhecido
Renan Rocha,720.***.***-92,42,44.0,"vale oliveira, 22",nova suíça,Desconhecido
Sr. Caio Souza,453.***.***-33,50,52.0,"conjunto maria vitória da cunha, 59",serra do curral,Desconhecido
Clarice Farias,743.***.***-22,55,56.0,"alameda maria fernanda castro, 87",maravilha,Desconhecido
Marcos Vinicius Jesus,597.***.***-00,72,74.0,"praça de moraes, 588",nova america,Desconhecido
João Pedro Nunes,910.***.***-42,34,36.0,"jardim de ramos, 69",vila nova gameleira 3ª seção,Desconhecido
Levi Farias,659.***.***-52,45,47.0,"quadra mendes, 42",vila pinho,Desconhecido
Dr. Enzo Da Costa,791.***.***-75,40,42.0,"campo marcela silveira, 66",álvaro camargos,Desconhecido
Heloísa Alves,029.***.***-79,86,88.0,"fazenda de moraes, 637",buraco quente,Desconhecido
Luiz Henrique Da Mota,842.***.***-91,20,21.0,"recanto alves, 105",saudade,Desconhecido
Camila Caldeira,903.***.***-03,54,55.0,"lago jesus, 71",frei leopoldo,Desconhecido
Arthur Mendes,918.***.***-05,50,51.0,esplanada cauã teixeira,jardim américa,Desconhecido
João Felipe Campos,362.***.***-06,54,54.0,"praia heitor castro, 6",jardim leblon,Desconhecido
Guilherme Azevedo,174.***.***-16,61,62.0,"viela benjamin campos, 1",pompéia,Desconhecido
Dra. Laura Cunha,364.***.***-50,46,47.0,"núcleo castro, 7",maria helena,Desconhecido
Noah Moraes,108.***.***-12,55,56.0,"estrada lucas gabriel caldeira, 856",joão pinheiro,Desconhecido
Davi Lucca Lopes,260.***.***-90,33,34.0,"trecho freitas, 427",alto dos pinheiros,Desconhecido
Sophia Da Cruz,621.***.***-15,39,40.0,via ribeiro,flavio de oliveira,Desconhecido
Igor Da Luz,740.***.***-85,46,48.0,"lago silva, 75",vila oeste,Desconhecido
Dr. Samuel Nascimento,692.***.***-73,86,87.0,"travessa duarte, 59",brasil industrial,Desconhecido
Maria Fernanda Freitas,968.***.***-28,66,68.0,favela sarah porto,conjunto são francisco de assis,Desconhecido
Eduarda Costa,206.***.***-68,28,29.0,"morro enzo gabriel teixeira, 84",mirtes,Desconhecido
Lorenzo Monteiro,069.***.***-20,43,45.0,"área da mota, 13",minas caixa,Desconhecido
Caroline Cardoso,618.***.***-17,51,53.0,"viaduto de moreira, 1",vera cruz,Desconhecido
Henrique Da Rocha,329.***.***-99,21,22.0,"núcleo luiz gustavo costela, 99",juliana,Desconhecido
Lucas Gabriel Oliveira,743.***.***-38,51,53.0,via araújo,são cristóvão,Desconhecido
Sr. Arthur Jesus,418.***.***-93,96,97.0,lago de cardoso,santa cecilia,Desconhecido
Marcos Vinicius Da Cunha,572.***.***-43,48,49.0,viaduto de cardoso,inconfidência,Desconhecido
Antônio Nogueira,061.***.***-71,19,21.0,"quadra de da mata, 49",ouro minas,Desconhecido
Sophia Monteiro,601.***.***-15,90,91.0,"núcleo araújo, 155",lindéia,Desconhecido
Dr. Leandro Silva,497.***.***-85,56,58.0,"estação silva, 18",serra,Desconhecido
Amanda Farias,185.***.***-08,99,100.0,"praia lavínia moraes, 29",conjunto jatoba,Desconhecido
Srta. Luna Peixoto,912.***.***-23,53,55.0,"fazenda rafaela costela, 37",havaí,Desconhecido
Sr. Igor Campos,183.***.***-62,54,56.0,"fazenda ferreira, 849",lagoa,Desconhecido
Maria Sophia Correia,948.***.***-75,98,100.0,"residencial alana dias, 51",vitoria,Desconhecido
Bruno Da Cruz,293.***.***-73,22,24.0,"rua evelyn da cunha, 2",alta tensão 1ª seção,Desconhecido
Amanda Cavalcanti,351.***.***-00,55,57.0,"fazenda de duarte, 99",são sebastião,Desconhecido
Bruno Melo,721.***.***-52,58,59.0,"trevo de da costa, 7",esplanada,Desconhecido
Dra. Elisa Nunes,875.***.***-05,35,36.0,"vale erick moreira, 48",vila nova cachoeirinha 2ª seção,Desconhecido
Calebe Ramos,942.***.***-40,59,61.0,"parque de moraes, 36",gutierrez,Desconhecido
Sr. Arthur Moraes,306.***.***-87,80,82.0,"passarela lima, 87",jatobá,Desconhecido
Júlia Silveira,913.***.***-57,73,75.0,pátio vitor gabriel rocha,são joão batista,Desconhecido
Sra. Isabelly Silva,732.***.***-00,34,35.0,"rodovia agatha lopes, 7",vila são gabriel,Desconhecido
Dr. Otávio Azevedo,457.***.***-30,79,81.0,"aeroporto de ferreira, 2",santa helena,Desconhecido
Maria Cecília Aragão,264.***.***-49,99,100.0,"trevo aragão, 535",salgado filho,Desconhecido
Noah Da Rosa,742.***.***-22,58,60.0,"avenida ferreira, 7",antonio ribeiro de abreu 1ª seção,Desconhecido
Sra. Laura Azevedo,540.***.***-71,37,39.0,viaduto marcelo ramos,universo,Desconhecido
Dr. Francisco Moreira,702.***.***-08,24,25.0,"núcleo silva, 7",jaraguá,Desconhecido
Mariane Das Neves,912.***.***-05,44,45.0,"rodovia de freitas, 782",parque são josé,Desconhecido
Enzo Monteiro,309.***.***-56,33,35.0,"quadra silveira, 76",joão paulo ii,Desconhecido
Diego Da Rocha,093.***.***-83,36,36.0,"conjunto da rosa, 22",pindura saia,Desconhecido
Ana Laura Da Cruz,798.***.***-49,86,87.0,parque rodrigues,vila da amizade,Desconhecido
Ana Sophia Gomes,384.***.***-46,44,45.0,"lagoa porto, 44",unidas,Desconhecido
Ana Laura Costa,502.***.***-85,52,54.0,"vila sales, 913",bela vitoria,Desconhecido
Felipe Souza,187.***.***-84,55,56.0,"setor peixoto, 47",palmeiras,Desconhecido
Luana Novaes,287.***.***-87,78,80.0,"parque luiz gustavo da conceição, 34",santa margarida,Desconhecido
Sra. Yasmin Nogueira,360.***.***-15,48,49.0,"lago de rocha, 482",belmonte,Desconhecido
Benício Melo,904.***.***-67,21,23.0,recanto maitê pereira,vila suzana primeira seção,Desconhecido
Daniela Aragão,726.***.***-53,58,60.0,"feira otávio pereira, 93",piraja,Desconhecido
Davi Luiz Sales,740.***.***-13,44,45.0,"trecho joão gabriel pires, 64",nova pampulha,Desconhecido
Milena Souza,904.***.***-70,85,87.0,"praça de ribeiro, 9",santa inês,Desconhecido
Maria Eduarda Ferreira,438.***.***-60,74,75.0,passarela de caldeira,vila sesc,Desconhecido
Sr. Diogo Lima,302.***.***-00,29,31.0,estrada danilo monteiro,conjunto califórnia ii,Desconhecido
Dr. Carlos Eduardo Araújo,496.***.***-47,39,41.0,"rodovia sophia rodrigues, 88",vila independencia 2ª seção,Desconhecido
Marina Gomes,934.***.***-00,98,99.0,lagoa souza,copacabana,Desconhecido
Gustavo Henrique Duarte,254.***.***-60,23,24.0,"área ana sophia pereira, 32",minas caixa,Desconhecido
Caio Ramos,832.***.***-73,27,29.0,"viaduto de sales, 92",buraco quente,Desconhecido
Rafael Nunes,462.***.***-19,88,90.0,"núcleo monteiro, 504",são bernardo,Desconhecido
Enzo Gabriel Cardoso,726.***.***-67,37,37.0,núcleo ribeiro,vila nova cachoeirinha 1ª seção,Desconhecido
Davi Cardoso,065.***.***-90,18,19.0,"praça ana júlia rezende, 38",vila coqueiral,Desconhecido
Daniel Pires,274.***.***-47,39,41.0,"avenida bruna rodrigues, 724",diamante,Desconhecido
Brenda Da Mata,532.***.***-19,44,44.0,"pátio rocha, 75",havaí,Desconhecido
Samuel Dias,852.***.***-24,38,40.0,"viaduto enzo gabriel moreira, 72",vila real 2ª seção,Desconhecido
Gustavo Henrique Da Costa,917.***.***-50,19,20.0,"residencial ribeiro, 60",flamengo,Desconhecido
Theo Fogaça,091.***.***-05,48,49.0,"travessa cardoso, 95",alta tensão 1ª seção,Desconhecido
Sra. Alexia Carvalho,483.***.***-71,24,24.0,quadra lorenzo pires,vila olhos d'água,Desconhecido
Juliana Martins,432.***.***-56,84,86.0,campo de souza,vila jardim são josé,Desconhecido
Luiz Gustavo Da Rosa,280.***.***-97,85,87.0,"via de da paz, 5",dona clara,Desconhecido
Gabriela Freitas,367.***.***-26,30,31.0,"trevo carvalho, 9",grajaú,Desconhecido
Enzo Gabriel Vieira,812.***.***-76,22,22.0,travessa novaes,boa vista,Desconhecido
Srta. Luna Nascimento,815.***.***-60,69,71.0,"passarela de nascimento, 916",joão paulo ii,Desconhecido
Sophie Da Mata,971.***.***-97,70,72.0,"avenida de almeida, 78",vila atila de paiva,Desconhecido
Clarice Alves,973.***.***-65,22,24.0,avenida heloísa costa,cabana do pai tomás,Desconhecido
Catarina Rodrigues,138.***.***-84,84,85.0,"núcleo farias, 97",lourdes,Desconhecido
Antônio Vieira,017.***.***-53,89,90.0,"favela de lopes, 473",lagoinha leblon,Desconhecido
Dr. Nicolas Da Conceição,105.***.***-80,25,27.0,"quadra mariana costela, 87",grajaú,Desconhecido
Maria Alice Da Costa,290.***.***-92,88,89.0,"rua cardoso, 76",olhos d'água,Desconhecido
Sr. Lucca Martins,906.***.***-70,56,57.0,"pátio paulo da rosa, 93",belvedere,Desconhecido
João Pedro Costa,532.***.***-41,68,70.0,feira cardoso,conjunto minas caixa,Desconhecido
Maitê Gonçalves,034.***.***-20,97,99.0,"distrito giovanna rodrigues, 37",marieta 3ª seção,Desconhecido
Ana Laura Ferreira,326.***.***-74,72,72.0,estrada de ramos,garças,Desconhecido
Sabrina Da Mata,172.***.***-02,30,30.0,"viela de moraes, 56",vila maria,Desconhecido
Alexandre Das Neves,183.***.***-24,93,95.0,"área de novaes, 52",itapoa,Desconhecido
Isadora Da Cunha,471.***.***-31,54,55.0,"viaduto freitas, 622",jardim atlântico,Desconhecido
Dr. Luigi Fernandes,834.***.***-55,72,74.0,"distrito thomas pires, 77",bairro das indústrias ii,Desconhecido
Sr. Yago Cavalcanti,758.***.***-05,93,94.0,estrada melo,vila independencia 3ª seção,Desconhecido
Carolina Peixoto,396.***.***-96,63,64.0,"loteamento dias, 21",camponesa 1ª seção,Desconhecido
Ana Lívia Porto,067.***.***-44,74,75.0,"colônia vieira, 6",milionario,Desconhecido
Henrique Da Mata,896.***.***-74,33,34.0,"aeroporto vinicius rezende, 18",conjunto são francisco de assis,Desconhecido
Enrico Aragão,490.***.***-75,93,94.0,"praça almeida, 95",vila novo são lucas,Desconhecido
Milena Cavalcanti,523.***.***-70,25,27.0,"trecho kevin castro, 70",são geraldo,Desconhecido
Davi Lucca Melo,731.***.***-14,96,96.0,"passarela kamilly moreira, 704",cardoso,Desconhecido
Clarice Fernandes,192.***.***-73,87,88.0,"vereda jesus, 7",esplanada,Desconhecido
Dr. Luiz Fernando Das Neves,146.***.***-37,58,58.0,"viaduto de martins, 24",vila antena,Desconhecido
Caio Azevedo,428.***.***-82,73,74.0,"largo cardoso, 23",vila nova gameleira 2ª seção,Desconhecido
Enrico Novaes,457.***.***-38,73,75.0,"vila heloísa barbosa, 666",conjunto são francisco de assis,Desconhecido
Ana Clara Moreira,075.***.***-53,87,89.0,residencial de aragão,andiroba,Desconhecido
Enrico Ribeiro,965.***.***-66,26,26.0,"loteamento lopes, 2",vila satélite,Desconhecido
Evelyn Aragão,548.***.***-07,85,87.0,"estrada rebeca caldeira, 440",marçola,Desconhecido
Thales Moreira,406.***.***-07,63,64.0,quadra farias,jardim guanabara,Desconhecido
Heitor Mendes,097.***.***-61,56,57.0,lagoa de farias,alta tensão 2ª seção,Desconhecido
Sarah Nascimento,938.***.***-10,40,42.0,"largo de da costa, 400",vila jardim alvorada,Desconhecido
Sra. Yasmin Melo,510.***.***-49,18,19.0,"loteamento almeida, 821",conjunto santa maria,Desconhecido
Sr. Marcelo Costela,895.***.***-38,23,25.0,"chácara clarice da costa, 135",cardoso,Desconhecido
Maria Cecília Araújo,752.***.***-52,76,77.0,"distrito nathan melo, 3",universitário,Desconhecido
Enzo Gabriel Ribeiro,965.***.***-02,63,65.0,"recanto nunes, 87",vila união,Desconhecido
Miguel Da Rosa,168.***.***-03,43,44.0,"esplanada carvalho, 8",paulo vi,Desconhecido
Maria Vitória Ferreira,914.***.***-69,23,25.0,"lago lima, 6",providencia,Desconhecido
Sr. Vitor Gabriel Gomes,348.***.***-60,48,49.0,"vale costela, 49",jonas veiga,Desconhecido
Bianca Pinto,541.***.***-06,80,81.0,"lagoa sales, 43",vila santa monica 2ª seção,Desconhecido
Igor Melo,519.***.***-39,97,97.0,viaduto nogueira,grota,Desconhecido
Sra. Vitória Carvalho,528.***.***-38,35,36.0,"jardim fernanda moura, 767",cdi jatoba,Desconhecido
Sofia Duarte,412.***.***-28,18,20.0,"morro isaac freitas, 543",vila nova cachoeirinha 2ª seção,Desconhecido
Brenda Nogueira,160.***.***-33,56,57.0,"pátio de almeida, 4",mala e cuia,Desconhecido
Rafael Fogaça,569.***.***-68,93,94.0,"setor de da rosa, 401",nova vista,Desconhecido
Ana Nascimento,295.***.***-61,72,73.0,"chácara de martins, 14",nossa senhora do rosário,Desconhecido
Dr. Juan Da Rocha,475.***.***-80,74,76.0,"ladeira de da mota, 16",vila jardim leblon,Desconhecido
Ana Laura Rocha,531.***.***-70,32,33.0,"sítio thomas rodrigues, 41",são damião,Desconhecido
Maria Alice Da Rocha,906.***.***-22,90,91.0,"travessa de correia, 46",guarani,Desconhecido
Elisa Lopes,790.***.***-30,99,,passarela alexandre da cunha,vila coqueiral,Desconhecido
Davi Lucca Pereira,597.***.***-60,70,70.0,"jardim de barros, 16",vila califórnia,Desconhecido
Marina Fogaça,410.***.***-20,61,63.0,"praça luiz henrique correia, 81",guaratã,Desconhecido
Bernardo Ramos,105.***.***-98,80,82.0,"lagoa luiza gonçalves, 979",piratininga,Desconhecido
Ana Lívia Lopes,971.***.***-02,63,65.0,"parque de barbosa, 57",anchieta,Desconhecido
Miguel Silva,920.***.***-00,40,40.0,"ladeira das neves, 9",nova floresta,Desconhecido
Sr. Arthur Da Cruz,693.***.***-38,83,84.0,lago de cavalcanti,vila betânia,Desconhecido
Julia Da Mota,571.***.***-20,75,76.0,"feira nogueira, 68",santo antônio,Desconhecido
Agatha Rocha,853.***.***-30,52,54.0,setor de dias,são benedito,Desconhecido
Isabel Cardoso,608.***.***-40,95,97.0,"campo da mata, 42",morro dos macacos,Desconhecido
Marcos Vinicius Moura,451.***.***-19,64,65.0,"parque dias, 687",paulo vi,Desconhecido
Levi Da Cunha,718.***.***-75,98,99.0,"colônia de viana, 6",pongelupe,Desconhecido
Cauã Vieira,427.***.***-61,76,77.0,via da mata,bernadete,Desconhecido
Maria Alice Ferreira,105.***.***-80,37,39.0,"praça de duarte, 194",guarani,Desconhecido
Dra. Isabelly Souza,725.***.***-30,33,34.0,"campo de moura, 60",primeiro de maio,Desconhecido
Heitor Rezende,174.***.***-39,72,73.0,"área duarte, 628",conjunto lagoa,Desconhecido
Maria Vitória Jesus,493.***.***-70,47,48.0,"sítio de moura, 13",paraíso,Desconhecido
Emanuel Duarte,762.***.***-76,21,21.0,"rua de fogaça, 71",ouro preto,Desconhecido
Ian Lima,163.***.***-66,86,88.0,"rua de martins, 9",união,Desconhecido
Vitor Alves,687.***.***-22,27,29.0,"esplanada ana laura oliveira, 667",ribeiro de abreu,Desconhecido
Rafael Ramos,946.***.***-84,69,71.0,"esplanada almeida, 4",vila fumec,Desconhecido
Ryan Da Cunha,412.***.***-52,86,88.0,morro de cardoso,camponesa 2ª seção,Desconhecido
Maria Da Cunha,539.***.***-06,77,79.0,residencial de duarte,vila união,Desconhecido
Srta. Milena Cardoso,832.***.***-40,66,67.0,"praça almeida, 71",capitão eduardo,Desconhecido
Bryan Ramos,043.***.***-89,30,31.0,"praia costa, 35",jardim leblon,Desconhecido
Luigi Santos,273.***.***-52,37,38.0,"via luigi peixoto, 61",são gabriel,Desconhecido
Isabella Duarte,023.***.***-17,43,44.0,"estrada diogo da mata, 91",vila nova cachoeirinha 3ª seção,Desconhecido
Sophie Azevedo,214.***.***-49,97,99.0,"rua kaique freitas, 8",universo,Desconhecido
Matheus Carvalho,592.***.***-09,60,61.0,viela de almeida,união,Desconhecido
Júlia Da Cruz,714.***.***-39,94,95.0,lagoa joão pedro alves,das industrias i,Desconhecido
Vitor Peixoto,489.***.***-06,76,77.0,"trevo de cardoso, 40",vale do jatoba,Desconhecido
Amanda Castro,305.***.***-41,43,45.0,"favela erick pereira, 672",vila copacabana,Desconhecido
Lucas Lima,240.***.***-01,91,93.0,"vale igor castro, 928",maravilha,Desconhecido
Raquel Ramos,052.***.***-25,66,68.0,"vereda de costa, 27",madre gertrudes,Desconhecido
Dra. Rebeca Nascimento,431.***.***-37,82,84.0,"residencial nogueira, 954",vila oeste,Desconhecido
Theo Da Conceição,846.***.***-46,29,29.0,"fazenda maria ribeiro, 81",vila são paulo,Desconhecido
Thiago Da Cunha,631.***.***-24,90,92.0,"viela de aragão, 291",união,Desconhecido
Davi Lucas Moreira,169.***.***-02,59,60.0,"estrada de da costa, 92",vila do pombal,Desconhecido
Helena Costela,950.***.***-68,28,29.0,"colônia de fogaça, 78",vila aeroporto jaraguá,Desconhecido
Beatriz Peixoto,243.***.***-96,80,82.0,"campo de moura, 904",alto caiçaras,Desconhecido
Luigi Fernandes,846.***.***-20,48,49.0,"estação igor cunha, 21",pilar,Desconhecido
Gabrielly Almeida,831.***.***-14,66,67.0,"estrada da conceição, 23",indaiá,Desconhecido
Samuel Sales,439.***.***-55,75,77.0,"morro de costela, 73",vila da luz,Desconhecido
Dr. Otávio Costa,095.***.***-59,36,38.0,"chácara da conceição, 2",juliana,Desconhecido
Srta. Ana Beatriz Da Mata,429.***.***-67,91,91.0,"feira de martins, 79",vitoria da conquista,Desconhecido
João Rodrigues,594.***.***-76,25,26.0,"colônia duarte, 56",marmiteiros,Desconhecido
Nathan Farias,521.***.***-32,39,40.0,"travessa joana gonçalves, 44",lajedo,Desconhecido
Dr. Rafael Pereira,581.***.***-55,56,58.0,"sítio isis campos, 81",distrito industrial do jatoba,Desconhecido
Júlia Pereira,871.***.***-12,29,30.0,lagoa santos,petropolis,Desconhecido
